,,,,,,,,,,,,,
Name of CIS,:,0,,,,,Total Length of Canals,,,,,,
"Location (covered Barangays, Municipality, Province)",:,0,,,,,,Main Canal(s),:,0.00,,,
Source of Water,:,0,,,,,,Lateral(s) & Sub-Lateral(s),:,0.00,,,
Scheme of Irrigation,:,0,,,,,No. of Canal Structures,,,,,,
Service Area (Has.),:,0,,,,,,Main Canal(s),:,0,,,
Firmed-Up Service Area (Has.),:,0,,,,,,Lateral(s) & Sub-Lateral(s),:,0,,,
Operational Area (Has.),:,0,,,,,Original Date Constructed,,:,,,,
No. of Farmer Beneficiaries,:,0,,,,,Original Project Cost (Php.),,:,,,,
Name of IA,:,0,,,,,Rehabilitation/Restoration/Extension Works (Funding Source-CY/Allocation),,:,,,,
,,,,,,,,,,,,,
INVENTORY OF CANAL AND STRUCTURES,,,,,,,,,,,,,CIS FORM 2
,,,,,,,,,,,,,
LOCATION,,Station,,CANAL/STRUCTURE,Status/Rating/Condition,,,,,,"Estimated Cost of Repair/Restoration
(Php)",Priority,REMARKS
,,From,To,,Very Satisfactory,Satisfactory,Poor,Description/Detail,,,,,
0,,0+000.00,0+000.00,,,✓,,0,,,,,0
ds,,0+000.00,0+000.00,,,,,,,,,,
ds,,0+000.00,3+555.00,,,,,,,,,,
ds,,3+050.00,3+364.00,,,✓,,0,,,,,0
ds,,0+000.00,0+000.00,,,✓,,0,,,,,0
ds,,0+000.00,1+718.00,,,,,,,,,,
ds,,1+718.00,1+960.00,,,,,,,,,,
sd,,0+000.00,2+193.00,,,,,,,,,,
